Rank-Avg	Elev-Avg	Rank-Prov	Elev-Prov	Rank-Opt	Elev-Opt	Name	Quad	Map1	Map2	Map3	Map4	Map5
208	2775		2775	225	2775	UP- Baldhead NE	Dixville Notch	https://listsofjohn.com/mapf?lat=44.8408&lon=-71.3529&z=15&t=u&d=y				
209	2770	193	2760	224	2779	Van Dyck Mountain	Diamond Pond	http://listsofjohn.com/peak/100814				
210	2766	194	2756	226	2775	Croydon Peak	Grantham	https://listsofjohn.com/peak/100817				
	2766		2756	227	2775	UP-Pinkham E	Mount Washington	http://listsofjohn.com/mapf?lat=44.2708&lon=-71.2503				
211	2762	191	2762	228	2762	Green Mountain	Mount Kineo	http://listsofjohn.com/peak/100820				
212	2760	192	2760	229	2760	UP-Potash S	Mount Tripyramid	http://listsofjohn.com/peak/100821				
213	2750	198	2740	230	2759	Black Mountain	Errol	http://listsofjohn.com/peak/100823				
214	2750	195	2750	232	2750	"Patience, Mount"	Dummer Ponds	http://listsofjohn.com/peak/100822				
215	2749	196	2749	233	2749	UP-Scott Bog	Second Connecticut Lake	http://listsofjohn.com/mapf?lat=45.2181&lon=-71.1877				
216	2746		2746	234	2746	"Oscar, Mount"	Mount Dartmouth	http://listsofjohn.com/peak/100824				
217	2745	197	2745	235	2745	UP-Camp 7	Bosebuck Mountain	http://listsofjohn.com/peak/100825 				
218	2740		2720	231	2759	UP-Kinsman Notch N	Mount Moosilauke	http://listsofjohn.com/mapf?lat=44.0446&lon=-71.7824	https://listsofjohn.com/mapf?lat=44.0455&lon=-71.7816&z=15&t=u			
219	2735	199	2735	238	2735	Square Mountain	West Milan	http://listsofjohn.com/peak/100826				
220	2726	200	2726	237	2735	Sunapee/Whites Ledge	Sunapee Lake South	http://listsofjohn.com/peak/100831	https://listsofjohn.com/peak/100833			
221	2726	201	2726	239	2726	Iron Mountain	Jackson	http://listsofjohn.com/peak/100832				
222	2724	202	2724	240	2724	UP-Paugus NE	Mount Chocorua	http://listsofjohn.com/mapf?lat=43.9675&lon=-71.3119				
223	2723	203	2723	236	2739	Abeniki Mountain	Diamond Pond	https://listsofjohn.com/peak/100834	https://listsofjohn.com/mapf?lat=44.8771&lon=-71.3071&z=16&t=u&d=r			
224	2721	204	2721	241	2721	"Metalak, Mount"	Dixville Notch	https://listsofjohn.com/peak/100835				
225	2717	205	2717	243	2717	Piermont Mountain	Warren	https://listsofjohn.com/peak/100836				
226	2716	206	2716	244	2716	UP - Swift Diamond	Mount Pisgah	https://listsofjohn.com/peak/100837				
227	2714	207	2714	245	2714	Prospect Mountain	Rump Mountain	https://listsofjohn.com/peak/100838				
228	2708	208	2708	246	2708	UP - Garfield Falls	Bosebuck Mountain	https://listsofjohn.com/peak/100840				
229	2702	209	2702	247	2702	Signal Mountain	Errol	https://listsofjohn.com/peak/100841				
230	2700	214	2680	242	2719	Potash Mountain	Mount Tripyramid	https://listsofjohn.com/peak/100842				
231	2699	210	2699	248	2699	UP - Dixville West	Dixville Notch	https://listsofjohn.com/mapf?lat=44.8525&lon=-71.3469&z=15&t=u&d=y				
232	2699	211	2699	249	2699	UP - Trestle Brook	Cowen Hill	https://listsofjohn.com/peak/100843				
233	2689	212	2689	250	2689	Black Snout Mountain	Tamworth	https://listsofjohn.com/peak/100844				
234	2684	213	2684	251	2684	Orange Mountain	Mount Cardigan	https://listsofjohn.com/peak/100845				
	2684		2684	252	2684	Potash Knob	Mount Osceola	https://listsofjohn.com/peak/100846				
235	2675	215	2675	254	2675	Table Mountain	Bartlett	https://listsofjohn.com/peak/100848				
236	2667	216	2657	253	2676	Grantham Mountain	North Grantham	https://listsofjohn.com/peak/100849	https://listsofjohn.com/mapf?lat=43.4997&lon=-72.2028&z=16&t=u&d=r			
237	2650	219	2640	255	2659	Dead Water Ridge	Diamond Pond	https://listsofjohn.com/peak/100853				
238	2650	220	2640	256	2659	UP - Tucker South	Mount Pisgah	https://listsofjohn.com/peak/100854				
239	2647	217	2647	257	2647	Mount Catalouchee	Mount Cardigan	https://listsofjohn.com/peak/100856				
240	2645	218	2645	258	2645	Cole Hill	Sugar Hill	https://listsofjohn.com/peak/100857				
241	2631	221	2631	263	2631	Cascade Mountain	Berlin	https://listsofjohn.com/peak/100858				
242	2630	222	2620	259	2639	Beaman Hill	Rump Mountain	https://listsofjohn.com/peak/100860				
243	2630	223	2620	260	2639	"Israel, Mount"	Center Sandwich	https://listsofjohn.com/peak/100859				
244	2630	224	2620	261	2639	Montagne des Lignes	Prospect Hill	https://listsofjohn.com/mapf?lat=45.2539&lon=-71.1976&z=16&t=u&d=y	https://listsofjohn.com/mapf?lat=45.2542&lon=-71.1985&z=16&t=u&d=y			
245	2620		2600	262	2639	UP - Bartlett HaystackE	Bartlett	https://listsofjohn.com/mapf?lat=44.0582&lon=-71.3208&z=15&t=u&d=r				
246	2610	226	2600	264	2619	Mudget Mountain	Lovering Mountain	https://listsofjohn.com/peak/100863	https://listsofjohn.com/mapf?lat=44.9634&lon=-71.3780&z=15&t=u&d=r			
	2608		2598	265	2617	UP - Cherry Stone	Mount Dartmouth	https://listsofjohn.com/mapf?lat=44.3121&lon=-71.4701&z=16&t=u&d=y				
247	2602	225	2602	266	2602	Black Hill	Wentworth	https://listsofjohn.com/peak/100868				
248	2590	227	2590	267	2590	UP - Trident	Berlin	https://listsofjohn.com/peak/100870				
249	2585	228	2585	268	2585	"Shaw, Mount"	Chatham	https://listsofjohn.com/peak/100871				
	2582		2582	269	2582	Haystack Mountain	Bosebuck Mountain	https://listsofjohn.com/peak/100872				
250	2570		2560	270	2579	UP - Chase North	Mount Pisgah	https://listsofjohn.com/mapf?lat=44.9220&lon=-71.1349&z=15&t=u&d=y				
251	2567	229	2567	271	2567	UP - Howe East	Wild River	https://listsofjohn.com/mapf?lat=44.3473&lon=-71.0475&z=15&t=u&d=y				
252	2558	230	2558	274	2558	Diamond Ridge	Diamond Pond	https://listsofjohn.com/peak/100877				
253	2555	231	2555	273	2559	"Hayes, Mount"	Berlin	https://listsofjohn.com/peak/100879	https://listsofjohn.com/mapf?lat=44.4176&lon=-71.1571&z=15&t=u&d=r			
254	2548	232	2548	275	2548	UP - Big Brook Bog	Second Connecticut Lake	https://listsofjohn.com/peak/100882				
255	2548	233	2548	276	2548	"Weetamoo, Mount"	Squam Mountains	https://listsofjohn.com/peak/100881				
256	2545	234	2545	277	2545	Halfmoon Mountain	Wilsons Mills	https://listsofjohn.com/peak/100884				
257	2540	241	2520	272	2559	Blue Mountain	Mount Chocorua	https://listsofjohn.com/peak/100885				
258	2539	235	2539	278	2539	Middle Sugarloaf	Twin Mountain	https://listsofjohn.com/peak/100886				
259	2535	236	2535	281	2535	UP - Pisgah East	Mount Pisgah	https://listsofjohn.com/mapf?lat=44.9949&lon=-71.1707&z=15&t=u&d=y				
260	2532	237	2532	282	2532	Hedgehog Mountain	Mount Chocorua	https://listsofjohn.com/peak/100888				
261	2532	238	2532	279	2539	UP - Blue Brook Shelter	Wild River	https://listsofjohn.com/mapf?lat=44.2820&lon=-71.0683&z=16&t=u&d=y	https://listsofjohn.com/mapf?lat=44.2838&lon=-71.0676&z=16&t=u&d=y			
262	2529	239	2529	280	2538	UP - Goves North	Sunapee Lake South	https://listsofjohn.com/peak/100889	https://listsofjohn.com/mapf?lat=43.2653&lon=-72.0946&z=16&t=u&d=r			
263	2523	240	2523	283	2523	Cedar Mountain	Diamond Pond	https://listsofjohn.com/peak/100891				
264	2519	242	2519	286	2519	"Twins North, The"	Chatham	https://listsofjohn.com/peak/100892				
265	2517	243	2517	287	2517	Mill Mountain	Stark	https://listsofjohn.com/peak/100893				
266	2510	247	2500	285	2519	Nathan Pond Ridge	Diamond Pond	https://listsofjohn.com/peak/100894				
267	2507	244	2507	288	2507	UP - Moat West	North Conway West	https://listsofjohn.com/mapf?lat=44.0234&lon=-71.2177&z=16&t=u&d=y				
268	2505	245	2505	289	2505	"Hope, Mount"	Bartlett	https://listsofjohn.com/peak/100895				
269	2504	246	2504	284	2519	Little Attitash Mountain	North Conway West	https://listsofjohn.com/peak/100896	https://listsofjohn.com/mapf?lat=44.0639&lon=-71.2213&z=16&t=u&d=y	https://listsofjohn.com/mapf?lat=44.0636&lon=-71.2225&z=16&t=u&d=y		
270	2497	248	2497	290	2497	UP - Kelsey East	Dixville Notch	https://listsofjohn.com/peak/100897				
271	2494	249	2494	291	2494	UP - Rowell North	Magalloway Mountain	https://listsofjohn.com/peak/100898				
272	2492	250	2492	292	2492	UP - Hell Gate East	Wilsons Mills	https://listsofjohn.com/peak/100899	https://listsofjohn.com/mapf?lat=44.9872&lon=-71.0872&z=15&t=u&d=r			
273	2489	251	2489	293	2489	Acteon Ridge	Waterville Valley	https://listsofjohn.com/mapf?lat=43.9039&lon=-71.5413&z=15&t=u&d=r				
	2488		2488	294	2488	UP - Willoughby West	Rumney	https://listsofjohn.com/mapf?lat=43.8432&lon=-71.8495&z=16&t=u&d=r				
274	2487	252	2487	295	2487	Jericho Mountain	Berlin	https://listsofjohn.com/peak/100902				
275	2477		2477	301	2477	Rickers Knoll	North Conway East	https://listsofjohn.com/peak/100904				
276	2470	253	2461	296	2479	Lovewell Mountain	Washington	https://listsofjohn.com/peak/100906				
277	2470	254	2460	297	2479	Stratford Mountain	Percy Peaks	https://listsofjohn.com/peak/100907				
278	2470	255	2460	298	2479	UP - Dead Water N	Diamond Pond	https://listsofjohn.com/mapf?lat=44.9700&lon=-71.3195&z=15&t=u&d=y				
279	2470		2460	299	2479	UP - Diamond Ponds	Diamond Pond	https://listsofjohn.com/mapf?lat=44.9486&lon=-71.3206&z=15&t=u&d=y				
280	2460		2440	300	2479	UP - Russell East	Lincoln	https://listsofjohn.com/mapf?lat=44.0181&lon=-71.6438&z=15&t=u&d=r				
281	2450	258	2440	302	2459	Bald Mountain	Tamworth	https://listsofjohn.com/peak/100910				
282	2449	256	2449	303	2449	Sugar Mountain	Berlin	https://listsofjohn.com/peak/100911				
283	2449	257	2449	304	2449	UP - Nathan Pond E	Mount Pisgah	https://listsofjohn.com/mapf?lat=44.9088&lon=-71.2487&z=15&t=u&d=y				
284	2437	259	2437	306	2437	UP - Cree	Tinkerville	https://listsofjohn.com/peak/100912				
285	2435	260	2435	305	2439	UP - Hall Ponds West	Squam Mountains	https://listsofjohn.com/mapf?lat=43.8530&lon=-71.5545&z=15&t=u&d=r	https://listsofjohn.com/mapf?lat=43.8556&lon=-71.5585&z=15&t=u&d=r	https://listsofjohn.com/mapf?lat=43.8568&lon=-71.5593&z=16&t=u&d=r		
286	2430	261	2430	307	2430	Cowen Hill	Cowen Hill	https://listsofjohn.com/peak/100914				
287	2424		2424	308	2424	Russell Mountain	Lincoln	https://listsofjohn.com/peak/100916				
288	2410	265	2400	310	2419	Ben Young Hill	Pittsburg	https://listsofjohn.com/peak/100923				
289	2410	266	2400	311	2419	Covell Mountain	Lake Francis	https://listsofjohn.com/peak/100922				
290	2410	267	2400	312	2419	Pine Mountain	Carter Dome	https://listsofjohn.com/peak/100920				
291	2410	268	2400	313	2419	UP - Two Grants	Wilsons Mills	https://listsofjohn.com/peak/100921				
292	2408	262	2408	309	2420	UP - Sunapee South	Sunapee Lake South	https://listsofjohn.com/mapf?lat=43.2622&lon=-72.0744&z=15&t=u&d=y	https://listsofjohn.com/mapf?lat=43.2624&lon=-72.0724&z=15&t=u&d=y			
293	2405	263	2405	314	2405	Cleveland Mountain	Bethlehem	https://listsofjohn.com/peak/100924				
294	2401	264	2401	315	2401	UP - Round Pond East	Cowen Hill	https://listsofjohn.com/mapf?lat=45.1351&lon=-71.2560&z=15&t=u&d=y				
295	2398	269	2398	319	2398	UP - Croydon Middle	Claremont North	https://listsofjohn.com/peak/100925				
296	2393		2393	320	2393	UP - Unknown Pond	Second Connecticut Lake	https://listsofjohn.com/mapf?lat=45.1487&lon=-71.2265&z=15&t=u&d=y				
297	2390	270	2390	321	2390	"Langdon, Mount"	Bartlett	https://listsofjohn.com/peak/100927	 			
298	2390	274	2380	317	2399	UP - Paris	Dummer Ponds	https://listsofjohn.com/peak/100928				
299	2390	275	2380	318	2399	UP - West Branch	Errol	https://listsofjohn.com/mapf?lat=44.9997&lon=-71.0987&z=15&t=u&d=r				
300	2389	271	2389	322	2389	UP - Cowen Hill Camp	Cowen Hill	https://listsofjohn.com/peak/100930				
301	2385	272	2385	323	2385	"Stratford Mountain, North"	Percy Peaks	https://listsofjohn.com/peak/100932				
302	2382	273	2382	324	2382	Belknap Mountain	West Alton	https://listsofjohn.com/peak/100933				
303	2380	282	2360	316	2399	UP - Moose Pond West	Mount Chocorua	https://listsofjohn.com/mapf?lat=43.9864&lon=-71.2539&z=15&t=u&d=y				
304	2378	276	2378	329	2378	Bald Mountain	Percy Peaks	https://listsofjohn.com/peak/100934				
305	2370	279	2360	325	2379	Lampier Hill	Smarts Mountain	https://listsofjohn.com/peak/100938				
306	2370	280	2360	326	2379	Mowglis Mountain	Mount Cardigan	https://listsofjohn.com/peak/100936				
307	2370	281	2360	327	2379	UP - Moose Pond East	Silver Lake	https://listsofjohn.com/mapf?lat=43.9823&lon=-71.2446&z=16&t=u&d=r				
308	2370	283	2360	328	2379	Whipple Ridge	Diamond Pond	https://listsofjohn.com/peak/100937				
309	2370	277	2370	330	2370	"Agassiz, Mount"	Bethlehem	https://listsofjohn.com/peak/100941				
310	2369	278	2369	331	2369	Black Cap	North Conway East	https://listsofjohn.com/peak/100940				
311	2350	285	2340	333	2359	Bald Mountain	Success Pond	https://listsofjohn.com/peak/100944				
312	2350	286	2340	334	2359	Tenney Mountain	Newfound Lake	https://listsofjohn.com/peak/100943				
313	2348	284	2348	335	2359	"Tug, Mount"	Mount Cardigan	https://listsofjohn.com/peak/100945	https://listsofjohn.com/mapf?lat=43.6840&lon=-71.9520&z=16&t=u&d=r			
314	2340	291	2320	332	2359	Artists Bluff/Bald Mtn	Franconia	https://listsofjohn.com/peak/100946	https://listsofjohn.com/peak/100947			
315	2338		2338	340	2338	UP - Catalouchee North	Mount Cardigan	https://listsofjohn.com/mapf?lat=43.6949&lon=-71.9088&z=15&t=u&d=r				
316	2337	287	2337	341	2337	Thompson Hill	Mount Cardigan	https://listsofjohn.com/peak/100887				
	2336		2336	342	2336	UP - Bear East	Bartlett	https://listsofjohn.com/mapf?lat=44.0268&lon=-71.2765&z=15&t=u&d=r				
317	2330	292	2320	336	2339	Metallak Mountain	Metallak Mountain	https://listsofjohn.com/peak/100950				
318	2330	293	2320	337	2339	Tinkham Hill	Danbury	https://listsofjohn.com/peak/100951				
319	2330		2320	339	2339	UP - Cranberry Bog	Bunnell Mountain	https://listsofjohn.com/mapf?lat=44.7840&lon=-71.4293&z=15&t=u&d=y				
320	2326	288	2326	343	2326	Bean Mountain	East Lempster	https://listsofjohn.com/peak/100953				
321	2326	289	2326	344	2326	Moody Ledge	Lisbon	https://listsofjohn.com/peak/100952				
322	2326	290	2326	338	2339	UP - Black NE	Errol	https://listsofjohn.com/mapf?lat=44.8570&lon=-71.1671&z=15&t=u&d=y	https://listsofjohn.com/mapf?lat=44.8577&lon=-71.1668&z=16&t=u&d=y			
323	2318	294	2318	347	2318	UP - Metallak N	Metallak Mountain	https://listsofjohn.com/mapf?lat=45.1747&lon=-71.3831&z=15&t=u&d=y	https://listsofjohn.com/mapf?lat=45.1782&lon=-71.3918&z=15&t=u&d=y	https://listsofjohn.com/mapf?lat=45.1724&lon=-71.3919&z=15&t=u&d=y		
324	2313	296	2303	345	2322	Melvin Hill	Enfield Center	https://listsofjohn.com/peak/100955				
325	2313	297	2303	346	2322	Moose Mountain-North Peak	Enfield	https://listsofjohn.com/peak/100954	https://listsofjohn.com/mapf?lat=43.7402&lon=-72.1370&z=15&t=u&d=r			
326	2306	295	2306	348	2306	Cobble Hill	Sugar Hill	https://listsofjohn.com/peak/100959				
327	2303	298	2303	349	2303	Dinsmore Mountain	Center Sandwich	https://listsofjohn.com/peak/100960				
328	2299	299	2299	354	2299	Signal Mountain	Lower Waterford	https://listsofjohn.com/peak/100962				
329	2299	300	2299	355	2299	UP - Graham Brook	Metallak Mountain	https://listsofjohn.com/mapf?lat=45.1912&lon=-71.3771&z=15&t=u&d=y	https://listsofjohn.com/mapf?lat=45.1899&lon=-71.3755&z=15&t=u&d=y	https://listsofjohn.com/mapf?lat=45.1921&lon=-71.3794&z=15&t=u&d=y		
330	2294	301	2294	356	2299	UP - Lampier Hill East	Wentworth	https://listsofjohn.com/mapf?lat=43.8400&lon=-71.9846&z=15&t=u&d=y	https://listsofjohn.com/mapf?lat=43.8411&lon=-71.9825&z=16&t=u&d=y			
331	2293	305	2283	350	2302	Moose Mountain-South Peak	Enfield	https://listsofjohn.com/peak/100964				
332	2290	309	2280	351	2299	Corkscrew Hill	Second Connecticut Lake	https://listsofjohn.com/peak/100966				
333	2290	310	2280	352	2299	Pack Monadnock Mountain	Peterborough South	https://listsofjohn.com/peak/100965				
334	2290	311	2280	357	2299	UP - Signal Southeast	Teakettle Ridge	https://listsofjohn.com/mapf?lat=44.7445&lon=-71.2128&z=15&t=u&d=y				
335	2289	302	2289	358	2289	Cow Mountain	Dummer Ponds	https://listsofjohn.com/peak/100970				
336	2288	303	2288	359	2288	Deer Mountain	Teakettle Ridge	https://listsofjohn.com/peak/100963				
337	2286	304	2286	353	2299	Ragged Mountain	Andover	https://listsofjohn.com/peak/100971	https://listsofjohn.com/mapf?lat=43.4694&lon=-71.8289&z=16&t=u&d=r			
338	2283	306	2283	360	2283	Errol Hill	Umbagog Lake North	https://listsofjohn.com/peak/100972				
339	2282	307	2282	362	2282	Thorn Mountain	Jackson	https://listsofjohn.com/peak/100974	 			
340	2282	308	2282	363	2282	Winslow Ledge	Smarts Mountain	https://listsofjohn.com/peak/100973				
341	2276	312	2276	365	2276	North Pack Monadnock Mountain	Greenfield	https://listsofjohn.com/peak/100976				
342	2274	315	2264	361	2282	UP - Croydon South	Mount Ascutney	https://listsofjohn.com/mapf?lat=43.4415&lon=-72.2541&z=15&t=u&d=r				
343	2270	313	2270	366	2270	Spruce Mountain	Jackson	https://listsofjohn.com/peak/100977				
344	2267	314	2267	367	2267	Beech Hill	Twin Mountain	https://listsofjohn.com/peak/100980				
	2261		2261	369	2261	UP - Millsfield Pond Brk	Mount Pisgah	https://listsofjohn.com/mapf?lat=44.7895&lon=-71.2490&z=15&t=u&d=y				
345	2260	319	2240	364	2279	Squam Mountains (HP)	Squam Mountains	https://listsofjohn.com/peak/100990	https://listsofjohn.com/mapf?lat=43.8070&lon=-71.5631&z=16&t=u&d=r			
346	2254	316	2244	368	2263	Osgood Hill	Dublin	https://listsofjohn.com/peak/100982				
347	2250	318	2240	370	2259	Gunstock Mountain	Laconia	https://listsofjohn.com/peak/100983				
348	2243	317	2243	371	2243	UP - Carrigain Brook	Mount Carrigain	https://listsofjohn.com/peak/100984				
349	2238	320	2238	377	2238	"Crosby, Mount"	Newfound Lake	https://listsofjohn.com/peak/100987				
350	2230	326	2220	372	2239	"Mist, Mount"	Warren	https://listsofjohn.com/peak/100989	https://listsofjohn.com/mapf?lat=43.9743&lon=-71.9308&z=16&t=u&d=r	https://listsofjohn.com/mapf?lat=43.9754&lon=-71.9320&z=16&t=u&d=r		
351	2230	327	2220	374	2239	UP - Gardner South	Lower Waterford	https://listsofjohn.com/peak/100991				
352	2230		2220	376	2239	"Whittier, Mount"	Tamworth	https://listsofjohn.com/peak/100992				
353	2227	321	2227	378	2227	"Cilley, Mount"	Woodstock	https://listsofjohn.com/peak/100993				
354	2225	322	2225	379	2225	UP - Ragged West	Andover	https://listsofjohn.com/peak/100994				
355	2225	323	2225	375	2239	UP - West Branch	Metallak Mountain	https://listsofjohn.com/mapf?lat=45.2271&lon=-71.3854&z=15&t=u&d=y	https://listsofjohn.com/mapf?lat=45.2116&lon=-71.3730&z=15&t=u&d=y	https://listsofjohn.com/mapf?lat=45.2086&lon=-71.3692&z=15&t=u&d=y	https://listsofjohn.com/mapf?lat=45.2256&lon=-71.3856&z=15&t=u&d=y	https://listsofjohn.com/mapf?lat=45.2077&lon=-71.3700&z=15&t=u&d=y
356	2223	324	2223	373	2239	"Squam, Mount"	Squam Mountains	https://listsofjohn.com/peak/100995	https://listsofjohn.com/mapf?lat=43.8157&lon=-71.5423&z=16&t=u&d=y	https://listsofjohn.com/mapf?lat=43.8155&lon=-71.5434&z=16&t=u&d=y		
357	2221	325	2221	380	2221	Lovering Mountain	Lovering Mountain	https://listsofjohn.com/peak/100996				
	2218		2218	382	2218	UP - Doublehead NE	Squam Mountains	https://listsofjohn.com/mapf?lat=43.8235&lon=-71.5164&z=15&t=u&d=r				
358	2205	328	2205	383	2205	Little Cambridge Mountain	Milan	https://listsofjohn.com/peak/101003				
359	2204	329	2204	384	2204	Bald Mountain	Plymouth	https://listsofjohn.com/peak/101005				
360	2204	330	2204	385	2204	Prospect Mountain	Lake Francis	https://listsofjohn.com/peak/101004				
361	2203	331	2203	381	2219	Towns Mountain	Littleton	https://listsofjohn.com/peak/101006	https://listsofjohn.com/mapf?lat=44.3662&lon=-71.7631&z=15&t=u&d=r			
362	2198	332	2198	391	2198	Hix Mountain	Waterville Valley	https://listsofjohn.com/peak/101007				
363	2195	334	2185	386	2204	UP - Chase Pond	North Grantham	https://listsofjohn.com/peak/101008				
364	2193	333	2193	392	2193	Plymouth Mountain	Ashland	https://listsofjohn.com/peak/101010				
365	2190	339	2180	387	2199	Sentinel Mountain	Warren	https://listsofjohn.com/peak/101011	https://listsofjohn.com/mapf?lat=43.9180&lon=-71.9391&z=16&t=u&d=r	https://listsofjohn.com/mapf?lat=43.9209&lon=-71.9422&z=16&t=u&d=r	https://listsofjohn.com/mapf?lat=43.9220&lon=-71.9432&z=16&t=u&d=r	
366	2190	340	2180	388	2199	Success Hill	Success Pond	https://listsofjohn.com/peak/101012				
367	2184	335	2184	390	2199	Webster Slide Mountain	Warren	https://listsofjohn.com/peak/101015	https://listsofjohn.com/mapf?lat=43.9878&lon=-71.9304&z=15&t=u&d=r			
368	2183	336	2183	394	2183	Forbes Mountain	Danbury	https://listsofjohn.com/peak/101016				
369	2183	337	2183	395	2183	Green Mountain	Lisbon	https://listsofjohn.com/peak/101017				
370	2181	338	2181	396	2181	Round Mountain	Chatham	https://listsofjohn.com/peak/101018				
371	2180	349	2160	389	2199	UP - Hope South	Bartlett	https://listsofjohn.com/mapf?lat=44.0975&lon=-71.3325&z=15&t=u&d=r				
372	2178	341	2178	401	2178	Hardwood Ridge	Mount Dartmouth	https://listsofjohn.com/peak/101020				
373	2177	342	2177	402	2177	Melvin Mountain	Grafton	https://listsofjohn.com/peak/101021	https://listsofjohn.com/peak/101029	 		
374	2175	344	2165	393	2184	Silver Mountain	East Lempster	https://listsofjohn.com/peak/101023				
375	2175	343	2175	403	2175	Piper Hill	Lovering Mountain	https://listsofjohn.com/peak/101022				
376	2170	346	2160	397	2179	"Hampshire Hills, North"	Umbagog Lake South	https://listsofjohn.com/peak/101025				
377	2170	347	2160	398	2179	Mill Mountain	Umbagog Lake South	https://listsofjohn.com/peak/101027	https://listsofjohn.com/mapf?lat=44.7498&lon=-71.1035&z=16&t=u&d=y	https://listsofjohn.com/mapf?lat=44.7474&lon=-71.1019&z=16&t=u&d=y		
378	2170	348	2160	399	2179	Shatney Mountain	Pittsburg	https://listsofjohn.com/peak/101024				
379	2170	350	2160	400	2179	UP - Norris Hill South	Wentworth	https://listsofjohn.com/peak/101026	https://listsofjohn.com/mapf?lat=43.7674&lon=-71.9824&z=16&t=u&d=r			
380	2162	345	2162	406	2162	Pitcher Mountain	Marlow	https://listsofjohn.com/peak/101030				
381	2159	351	2159	411	2159	Kennedy Hill	East Lempster	https://listsofjohn.com/peak/101032				
382	2155	352	2146	404	2164	Dalton Mountain	Gilman	https://listsofjohn.com/peak/101034				
383	2155	353	2146	405	2164	Mann Hill	Bethlehem	https://listsofjohn.com/peak/101035				
384	2150	356	2140	407	2159	"Hampshire Hills, South"	Umbagog Lake South	https://listsofjohn.com/peak/101037				
385	2150	357	2140	408	2159	Mousley Mountain	Smarts Mountain	https://listsofjohn.com/peak/101038				
386	2150	358	2140	409	2159	Round Mountain	West Milan	https://listsofjohn.com/peak/101039				
387	2142	354	2142	412	2142	Garnet Mountain	Bethlehem	https://listsofjohn.com/peak/101044				
388	2142	355	2142	410	2159	UP - Boundary 496.8	Greeley Brook	https://listsofjohn.com/peak/101043	https://listsofjohn.com/mapf?lat=45.2540&lon=-71.3561&z=16&t=u&d=r			
	2136		2136	414	2136	Stowell Hill	North Grantham	https://listsofjohn.com/peak/101048				
389	2135	359	2135	415	2135	Black Hill	Mount Kineo	https://listsofjohn.com/peak/101047				
390	2132	360	2132	416	2132	Cone Mountain	Waterville Valley	https://listsofjohn.com/peak/101049				
391	2130	362	2120	413	2139	UP - Halls Brk	Wentworth	https://listsofjohn.com/peak/101050	https://listsofjohn.com/mapf?lat=43.7523&lon=-71.9115&z=16&t=u&d=r	https://listsofjohn.com/mapf?lat=43.7557&lon=-71.9123&z=16&t=u&d=r		
	2125		2125	417	2125	Oak Ridge	Bartlett	https://listsofjohn.com/mapf?lat=44.1094&lon=-71.2891&z=14&t=u&d=r				
392	2123	361	2123	421	2123	Pollard Hill	Canaan	https://listsofjohn.com/peak/101052				
393	2116	365	2106	418	2125	Ames Hill	Washington	https://listsofjohn.com/peak/101054				
394	2116	366	2106	419	2125	Kittredge Hill	Washington	https://listsofjohn.com/peak/101055				
395	2116	367	2106	420	2125	Prospect Hill	North Grantham	https://listsofjohn.com/peak/101053	https://listsofjohn.com/mapf?lat=43.5759&lon=-72.1273&z=16&t=u&d=r			
396	2116	363	2116	423	2116	UP - Tucker North	Mount Pisgah	https://listsofjohn.com/mapf?lat=44.9548&lon=-71.1296&z=15&t=u&d=y				
397	2110	364	2110	424	2110	Holts Ledge	Smarts Mountain	https://listsofjohn.com/peak/101057				
398	2110		2110	425	2110	UP - Sweat Pd	Errol	https://listsofjohn.com/mapf?lat=44.7714&lon=-71.1838&z=15&t=u&d=y				
399	2100	368	2100	428	2100	Hurricane Mountain	North Conway East	https://listsofjohn.com/peak/101061				
400	2100	376	2080	422	2119	UP - Fletcher North	Rumney	https://listsofjohn.com/mapf?lat=43.7663&lon=-71.8206&z=16&t=u&d=y				
401	2099	369	2099	429	2099	Sugar Hill	Smarts Mountain	https://listsofjohn.com/peak/101062				
402	2096	373	2087	426	2105	UP - Ayers Twin East	Washington	https://listsofjohn.com/peak/101063				
403	2096	374	2087	427	2105	UP - Ayers Twin West	Washington	https://listsofjohn.com/mapf?lat=43.2383&lon=-72.0481&z=16&t=u&d=y				
404	2093	370	2093	430	2093	Larcom Mountain	Tamworth	https://listsofjohn.com/peak/101065				
405	2091	371	2091	431	2091	Downing Mountain	Mount Kineo	https://listsofjohn.com/peak/101066				
406	2090	372	2090	432	2090	Hutchins Hill	Danbury	https://listsofjohn.com/peak/101013				
407	2080	375	2080	436	2080	UP - Cherry Little	Twin Mountain	https://listsofjohn.com/peak/101067				
408	2078	377	2078	440	2078	Bronson Hill	Sugar Hill	https://listsofjohn.com/peak/101068				
409	2077	382	2067	433	2086	Healey Hill	Washington	https://listsofjohn.com/peak/101070	https://listsofjohn.com/mapf?lat=43.1308&lon=-72.1204&z=16&t=u&d=r			
410	2077	383	2067	434	2086	Lewis Hill	Bethlehem	https://listsofjohn.com/peak/101071				
411	2077	384	2067	435	2086	Prospect Mountain	Lancaster	https://listsofjohn.com/peak/101069				
412	2076		2076	441	2076	"Webster, Mount"	Squam Mountains	https://listsofjohn.com/peak/101072	https://listsofjohn.com/mapf?lat=43.7838&lon=-71.5751&z=16&t=u&d=y	https://listsofjohn.com/mapf?lat=43.7830&lon=-71.5753&z=16&t=u&d=y		
