Rank-Avg	Elev-Avg	Rank-Prov	Elev-Prov	Rank-Opt	Elev-Opt	Name	Quad	Map1	Map2	Map3	Map4	Map5
	3881		3881	55	3881	"Sleepers North, The"	Mount Tripyramid	https://listsofjohn.com/peak/100618				
54	3862	51	3862	57	3862	Vose Spur	Mount Carrigain	https://listsofjohn.com/peak/100619				
55	3860	52	3840	56	3879	"Sleepers South, The"	Mount Tripyramid	https://listsofjohn.com/peak/100620				
	3813		3813	58	3813	Peak Above the Nubble	South Twin Mountain	https://listsofjohn.com/peak/102555				
56	3774	53	3774	59	3799	Scar Ridge	Mount Osceola	https://listsofjohn.com/peak/100623	https://listsofjohn.com/mapf?lat=44.0280&lon=-71.5905&z=15&t=u&d=r			
57	3769	54	3769	60	3769	"Cannon Balls East, The"	Franconia	https://listsofjohn.com/peak/100624				
58	3763	55	3763	61	3763	"Kancamagus, Mount"	Mount Carrigain	https://listsofjohn.com/peak/100625				
59	3740	60	3720	62	3759	"Anderson, Mount"	Mount Carrigain	https://listsofjohn.com/peak/100628				
60	3740	62	3720	63	3759	"Lowell, Mount"	Mount Carrigain	https://listsofjohn.com/peak/100627				
61	3735	56	3735	65	3739	Shelburne Moriah Mountain	Wild River	https://listsofjohn.com/peak/100630	https://listsofjohn.com/mapf?lat=44.3539&lon=-71.0972&z=16&t=u&d=r			
62	3730	61	3720	64	3739	Bunnell Mountain	Bunnell Mountain	https://listsofjohn.com/peak/100631				
63	3730	57	3730	66	3730	Hutchins Mountain	Stark	https://listsofjohn.com/peak/100632				
64	3727	58	3727	67	3727	"Dartmouth, Mount"	Mount Dartmouth	https://listsofjohn.com/peak/100634				
65	3725	59	3725	68	3725	"Bemis, Mount"	Crawford Notch	https://listsofjohn.com/peak/100629				
66	3710	63	3700	71	3719	Sugarloaf	Percy Peaks	https://listsofjohn.com/peak/100635				
67	3700	65	3680	69	3719	*Huntington Middle	Mount Carrigain	https://listsofjohn.com/mapf?lat=44.0463&lon=-71.4850&z=16&t=u&d=r	https://listsofjohn.com/mapf?lat=44.0470&lon=-71.4833&z=16&t=u&d=r			
68	3700	66	3680	70	3719	"Huntington, Mount"	Mount Carrigain	https://listsofjohn.com/peak/100636				
69	3700	67	3680	72	3719	UP -Hale South	South Twin Mountain	https://listsofjohn.com/peak/100637	https://listsofjohn.com/mapf?lat=44.1992&lon=-71.5165&z=16&t=u&d=y			
70	3691	64	3691	73	3691	UP - Field West	Crawford Notch	https://listsofjohn.com/mapf?lat=44.1893&lon=-71.4470&z=15&t=u&d=y				
	3684		3684	74	3684	Middle Weeks	Jefferson	https://listsofjohn.com/peak/212821				
71	3671	68	3671	75	3680	"Deception, Mount"	Mount Dartmouth	https://listsofjohn.com/peak/100639	https://listsofjohn.com/mapf?lat=44.2925&lon=-71.4285&z=16&t=u&d=r			
72	3667	69	3667	76	3667	UP - Garfield Ridge West	South Twin Mountain	https://listsofjohn.com/mapf?lat=44.1899&lon=-71.5952&z=16&t=u&d=y				
73	3661	70	3661	77	3661	*Long Mountain E	Percy Peaks	https://listsofjohn.com/peak/100640				
74	3661	71	3661	78	3661	Long Mountain	Percy Peaks	https://listsofjohn.com/mapf?lat=44.6696&lon=-71.4021&z=14&t=u&d=r				
75	3655	72	3655	79	3655	Terrace Mountain	Jefferson	https://listsofjohn.com/peak/100643				
76	3627	73	3627	82	3627	Stub Hill	Bosebuck Mountain	https://listsofjohn.com/peak/100645				
77	3620	79	3600	80	3639	"Hitchcock, Mount"	Mount Osceola	https://listsofjohn.com/peak/100646				
78	3620	74	3620	81	3639	Scar Ridge East	Mount Osceola	https://listsofjohn.com/peak/100647	https://listsofjohn.com/mapf?lat=44.0159&lon=-71.5646&z=16&t=u&d=r			
79	3615	75	3615	86	3615	*Pilot Middle	Stark	https://listsofjohn.com/peak/100648				
80	3615	76	3615	84	3619	Muise Mountain	Bunnell Mountain	https://listsofjohn.com/peak/100649	https://listsofjohn.com/mapf?lat=44.7845&lon=-71.3771&z=16&t=u&d=r			
81	3610	78	3600	83	3619	Gore Mountain	Bunnell Mountain	https://listsofjohn.com/peak/100651				
82	3610	80	3600	85	3619	North Baldface	Chatham	https://listsofjohn.com/peak/100650				
83	3606	77	3606	87	3606	Pliny Mountain	Jefferson	https://listsofjohn.com/peak/100652				
	3605		3605	88	3605	Scaur Peak	Mount Tripyramid	https://listsofjohn.com/peak/100653				
84	3590		3590	90	3590	UP - Garfield Ridge East	South Twin Mountain	https://listsofjohn.com/mapf?lat=44.1928&lon=-71.5822&z=16&t=u&d=y				
85	3590	81	3580	89	3599	West Peak - Castle	Bunnell Mountain	https://listsofjohn.com/peak/100654				
86	3573	83	3563	91	3582	"Martha, Mount"	Mount Dartmouth	https://listsofjohn.com/peak/100657				
87	3570	85	3560	92	3579	South Baldface	Chatham	https://listsofjohn.com/peak/100658				
88	3570	86	3560	94	3579	UP - Pilot SE	Stark	https://listsofjohn.com/mapf?lat=44.5283&lon=-71.4282&z=16&t=u&d=r				
89	3565	82	3565	93	3579	"Success, Mount"	Shelburne	https://listsofjohn.com/peak/100660	https://listsofjohn.com/mapf?lat=44.4722&lon=-71.0382&z=16&t=u&d=r			
90	3561	84	3561	95	3561	"Clough, Mount"	Mount Moosilauke	https://listsofjohn.com/peak/100661				
91	3548		3548	96	3559	"Fool Killer, The"	Mount Tripyramid	https://listsofjohn.com/peak/100662	https://listsofjohn.com/mapf?lat=43.9765&lon=-71.4286&z=15&t=u&d=y			
92	3540	87	3520	97	3559	The Captain	Mount Carrigain	https://listsofjohn.com/peak/137462				
93	3519	88	3519	99	3519	Sable Mountain	Chatham	https://listsofjohn.com/peak/100665				
94	3510	89	3500	100	3519	Savage Mountain	Stratford	https://listsofjohn.com/peak/100666				
95	3510	90	3500	103	3519	UP - Unknown Pd Pk	Stark	https://listsofjohn.com/peak/100667				
96	3500	92	3480	98	3519	"Chocorua, Mount"	Mount Chocorua	https://listsofjohn.com/peak/100668				
97	3500		3480	101	3519	UP - Hitchcock South	Mount Osceola	https://listsofjohn.com/mapf?lat=44.0665&lon=-71.5278&z=14&t=u&d=r				
98	3500	93	3480	102	3519	UP - Scar Ridge Middle	Mount Osceola	https://listsofjohn.com/mapf?lat=44.0253&lon=-71.5803&z=16&t=u&d=r				
99	3500	94	3480	104	3519	"Wolf, Mount"	Mount Moosilauke	https://listsofjohn.com/peak/100669	https://listsofjohn.com/mapf?lat=44.0760&lon=-71.7503&z=16&t=u&d=r			
100	3490	91	3490	105	3490	Dixville Peak	Dixville Notch	https://listsofjohn.com/peak/100670				
101	3472	95	3472	107	3472	"Kelsey, Mount"	Dixville Notch	https://listsofjohn.com/peak/100672				
102	3468	96	3468	108	3468	Stairs Mountain	Stairs Mountain	https://listsofjohn.com/peak/100673				
103	3453	97	3453	106	3479	Carr Mountain	Mount Kineo	https://listsofjohn.com/peak/100676	https://listsofjohn.com/mapf?lat=43.8819&lon=-71.8434&z=15&t=u&d=r	https://listsofjohn.com/mapf?lat=43.8801&lon=-71.8439&z=15&t=u&d=r		
104	3430	99	3420	110	3439	"Percy Peaks, North"	Percy Peaks	https://listsofjohn.com/peak/100681				
105	3422	98	3422	112	3422	UP - Stub Hill North	Bosebuck Mountain	https://listsofjohn.com/mapf?lat=45.1185&lon=-71.1019&z=15&t=u&d=y				
106	3420	102	3400	109	3439	Eagle Cliff	Franconia	https://listsofjohn.com/peak/100678				
107	3415	100	3415	111	3439	"Resolution, Mount"	Stairs Mountain	https://listsofjohn.com/peak/100679	https://listsofjohn.com/mapf?lat=44.1460&lon=-71.3157&z=15&t=u&d=r			
108	3405	101	3405	113	3405	Whitewall Mountain	Crawford Notch	https://listsofjohn.com/peak/100682				
109	3393		3393	118	3393	UP-W Huntington	Mount Osceola	http://listsofjohn.com/mapf?lat=44.0438&lon=-71.5060				
110	3390	103	3390	115	3399	Rice Mountain	Errol	https://listsofjohn.com/peak/100685	https://listsofjohn.com/mapf?lat=44.8535&lon=-71.2403&z=16&t=u&d=r			
111	3390	105	3380	116	3399	Salmon Mountain	Second Connecticut Lake	http://listsofjohn.com/peak/100686	https://listsofjohn.com/mapf?lat=45.2437&lon=-71.1351&z=16&t=u&d=r			
112	3390	106	3380	117	3399	Teapot Mountain	Stratford	https://listsofjohn.com/peak/100687				
113	3383	104	3383	114	3399	Magalloway Mountain	Magalloway Mountain	https://listsofjohn.com/peak/100688	https://listsofjohn.com/mapf?lat=45.0631&lon=-71.1624&z=16&t=u&d=r	https://listsofjohn.com/mapf?lat=45.0628&lon=-71.1624&z=16&t=u&d=r	https://listsofjohn.com/mapf?lat=45.0633&lon=-71.1633&z=16&t=u&d=r	
114	3376	107	3376	119	3376	Millen Hill	Mount Washington	http://listsofjohn.com/peak/100690				
115	3371	108	3371	120	3371	"Tremont, Mount"	Bartlett	http://listsofjohn.com/peak/100691				
116	3354	109	3354	122	3354	Whitcomb Mountain	Dummer Ponds	http://listsofjohn.com/peak/100692				
117	3350	110	3350	123	3350	Little Wildcat Mountain	Carter Dome	http://listsofjohn.com/peak/100694				
118	3340		3320	121	3359	Duck Pond Mountain	Mount Carrigain	http://listsofjohn.com/peak/100695				
119	3338	111	3338	124	3338	"Whitcomb Mountain, South"	Dummer Ponds	http://listsofjohn.com/peak/100697				
120	3335	112	3335	125	3335	Chandler Mountain	Chatham	http://listsofjohn.com/peak/100698				
